time,source,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
45.6,ref,-80.00,-80.00,-80.00,-79.12,-74.60,-67.22,-58.46,-56.68,-72.14,-75.75,-71.86,-64.26,-62.33,-55.21,-54.22,-61.55,-52.89,-55.76,-60.04,-69.49,-70.95,-75.13,-77.87,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.6,room,-80.00,-80.00,-80.00,-72.80,-65.55,-52.90,-49.34,-48.12,-64.74,-63.71,-66.32,-58.03,-62.37,-56.25,-53.52,-61.46,-56.81,-52.94,-61.21,-68.00,-72.62,-77.75,-79.57,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.6,processed,-80.00,-80.00,-80.00,-76.76,-67.99,-63.36,-53.50,-50.57,-61.44,-70.26,-63.63,-57.40,-65.83,-61.65,-62.75,-68.54,-61.39,-60.68,-67.19,-70.83,-77.90,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.7,ref,-80.00,-80.00,-80.00,-76.58,-61.28,-64.49,-67.12,-64.36,-69.02,-65.57,-58.87,-55.98,-61.28,-54.37,-53.62,-60.08,-49.26,-51.71,-57.97,-59.65,-67.74,-71.91,-75.57,-78.15,-79.66,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.7,room,-80.00,-80.00,-77.52,-71.00,-54.68,-55.21,-58.66,-55.88,-58.54,-57.20,-58.88,-48.44,-57.72,-55.75,-56.04,-60.71,-53.98,-50.51,-56.91,-60.31,-69.71,-73.92,-77.51,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.7,processed,-80.00,-80.00,-80.00,-77.06,-61.32,-66.30,-56.43,-56.11,-64.49,-67.59,-65.17,-56.17,-65.16,-61.85,-58.85,-65.46,-60.47,-59.82,-67.75,-69.66,-75.78,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.8,ref,-80.00,-80.00,-80.00,-78.44,-70.50,-57.89,-57.76,-58.84,-60.00,-57.12,-56.01,-53.50,-58.32,-57.38,-55.05,-58.37,-50.98,-53.79,-60.42,-61.76,-68.92,-72.54,-76.77,-77.90,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.8,room,-80.00,-80.00,-80.00,-74.29,-61.82,-52.31,-57.37,-55.91,-56.64,-61.47,-59.61,-58.45,-58.03,-58.96,-55.34,-57.99,-57.42,-55.29,-64.81,-67.42,-72.46,-76.95,-79.28,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.8,processed,-80.00,-80.00,-80.00,-80.00,-65.14,-57.02,-68.48,-61.71,-63.60,-67.29,-59.19,-55.37,-62.36,-63.43,-62.69,-63.55,-59.86,-58.79,-64.53,-68.29,-76.54,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.9,ref,-80.00,-80.00,-80.00,-80.00,-58.91,-66.33,-70.44,-61.01,-76.22,-67.29,-61.88,-62.56,-60.64,-59.82,-46.28,-60.03,-59.40,-57.12,-68.27,-68.63,-72.71,-74.46,-76.54,-78.20,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.9,room,-80.00,-77.66,-80.00,-80.00,-50.95,-50.83,-51.40,-52.62,-57.87,-62.24,-60.84,-58.12,-64.38,-60.72,-51.23,-61.84,-59.75,-56.42,-68.88,-68.81,-70.71,-76.00,-77.50,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.9,processed,-80.00,-80.00,-80.00,-80.00,-57.10,-60.33,-53.87,-54.55,-59.72,-66.24,-62.87,-53.66,-65.31,-63.90,-60.64,-64.42,-60.53,-57.37,-65.01,-69.73,-78.29,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.0,ref,-80.00,-80.00,-78.93,-71.04,-61.60,-62.46,-61.40,-62.98,-67.00,-71.50,-65.79,-64.62,-65.78,-62.09,-49.36,-61.63,-56.99,-55.01,-69.20,-65.86,-72.36,-75.56,-77.24,-76.84,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.0,room,-80.00,-80.00,-80.00,-73.37,-55.79,-53.12,-53.48,-55.61,-61.05,-64.46,-63.81,-61.45,-63.21,-62.92,-55.04,-61.55,-57.67,-53.30,-67.83,-67.71,-72.26,-75.68,-79.74,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.0,processed,-80.00,-80.00,-80.00,-76.25,-61.07,-60.98,-67.96,-57.38,-66.26,-67.95,-61.32,-55.95,-62.89,-61.22,-57.16,-65.32,-61.11,-58.31,-64.89,-70.71,-78.08,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.1,ref,-80.00,-80.00,-74.76,-62.35,-69.90,-69.81,-68.93,-66.33,-67.65,-73.33,-68.12,-67.14,-64.05,-60.53,-51.72,-60.12,-60.11,-53.81,-67.91,-67.97,-73.18,-72.63,-75.82,-78.88,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.1,room,-80.00,-80.00,-74.19,-60.43,-59.16,-53.85,-56.30,-59.08,-61.14,-69.21,-62.70,-61.41,-63.69,-61.57,-51.45,-58.34,-56.66,-54.30,-64.94,-66.71,-70.20,-74.79,-75.23,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.1,processed,-80.00,-80.00,-80.00,-64.81,-64.61,-61.32,-60.62,-61.54,-66.40,-70.02,-64.68,-56.30,-64.17,-61.74,-58.58,-64.59,-61.37,-57.78,-67.62,-69.68,-79.21,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.2,ref,-80.00,-80.00,-70.16,-68.63,-76.85,-73.69,-64.33,-67.85,-62.47,-59.95,-54.12,-51.08,-56.84,-58.59,-52.21,-57.14,-48.61,-48.98,-55.19,-55.69,-65.35,-69.30,-74.59,-76.02,-75.18,-77.87,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.2,room,-80.00,-80.00,-73.93,-63.85,-62.66,-61.75,-56.61,-60.73,-56.29,-55.71,-57.07,-46.83,-57.45,-59.53,-51.96,-59.06,-52.54,-53.51,-58.48,-60.17,-67.18,-72.34,-76.14,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.2,processed,-80.00,-80.00,-76.47,-67.34,-64.39,-67.35,-64.60,-63.19,-61.54,-66.76,-64.14,-55.66,-62.58,-64.25,-60.46,-63.04,-60.63,-56.72,-65.86,-67.83,-77.59,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.3,ref,-80.00,-80.00,-79.50,-76.54,-62.46,-57.85,-58.85,-62.96,-67.06,-61.04,-61.13,-63.17,-63.73,-61.50,-48.04,-61.57,-58.44,-59.63,-62.54,-68.90,-70.45,-72.85,-76.74,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.3,room,-78.09,-78.60,-80.00,-68.84,-55.52,-51.21,-50.93,-52.34,-59.72,-64.35,-59.63,-57.54,-61.90,-60.76,-54.48,-64.62,-56.49,-57.63,-65.43,-69.73,-70.99,-74.64,-77.04,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.3,processed,-80.00,-80.00,-80.00,-80.00,-61.56,-58.56,-53.77,-54.36,-62.04,-66.97,-60.16,-57.29,-62.72,-65.19,-56.65,-65.52,-62.36,-57.89,-65.71,-68.81,-78.23,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.4,ref,-80.00,-80.00,-80.00,-78.46,-58.72,-69.04,-66.49,-61.97,-75.79,-72.01,-62.61,-61.43,-66.65,-61.06,-54.92,-62.11,-54.88,-60.16,-61.84,-69.83,-71.59,-71.70,-76.31,-79.95,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.4,room,-80.00,-80.00,-80.00,-73.00,-51.05,-53.05,-56.99,-52.04,-62.26,-61.18,-59.10,-60.40,-61.40,-60.13,-52.66,-60.83,-53.10,-58.70,-63.47,-68.29,-71.06,-76.03,-76.75,-77.91,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.4,processed,-80.00,-80.00,-80.00,-79.27,-55.62,-60.14,-59.33,-56.35,-64.10,-65.63,-63.16,-54.79,-68.02,-64.79,-59.54,-65.55,-61.98,-58.19,-65.93,-69.41,-78.39,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.5,ref,-80.00,-80.00,-80.00,-80.00,-67.62,-75.59,-61.14,-55.33,-76.85,-74.23,-69.23,-60.23,-67.69,-54.48,-56.96,-65.31,-53.88,-60.30,-64.66,-73.49,-70.89,-75.01,-77.47,-77.90,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.5,room,-80.00,-80.00,-80.00,-73.79,-60.42,-57.70,-50.50,-47.67,-63.52,-68.25,-64.52,-62.39,-63.95,-56.71,-52.99,-57.46,-54.67,-54.46,-62.41,-67.69,-72.22,-77.16,-79.18,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
