time,ref,room,processed
47.003356,0.028931,-0.067047,0.002131
47.003379,0.025055,-0.062714,0.008435
47.003401,0.019897,-0.058624,0.013316
47.003424,0.016479,-0.053192,0.017073
47.003447,0.016815,-0.044708,0.020131
47.003469,0.017853,-0.035431,0.021979
47.003492,0.016876,-0.026947,0.023423
47.003515,0.016266,-0.019012,0.023818
47.003537,0.017487,-0.008179,0.022730
47.003560,0.019012,0.004883,0.021415
47.003583,0.018005,0.017303,0.020417
47.003605,0.015961,0.026367,0.019178
47.003628,0.013855,0.035004,0.019567
47.003651,0.009888,0.044678,0.020963
47.003673,0.003906,0.051300,0.021331
47.003696,-0.000458,0.051666,0.020606
47.003719,-0.003418,0.049866,0.018399
47.003741,-0.007782,0.050934,0.013872
47.003764,-0.013306,0.054077,0.008149
47.003787,-0.017242,0.054626,0.001596
47.003810,-0.016846,0.050293,-0.007303
47.003832,-0.012604,0.044678,-0.018417
47.003855,-0.007416,0.041931,-0.030415
47.003878,-0.001892,0.039520,-0.041034
47.003900,0.004852,0.034058,-0.048339
47.003923,0.013458,0.026459,-0.053789
47.003946,0.022430,0.016815,-0.059236
47.003968,0.033234,0.004425,-0.065469
47.003991,0.044006,-0.009735,-0.070478
47.004014,0.050842,-0.023865,-0.073948
47.004036,0.051788,-0.035706,-0.076777
47.004059,0.048309,-0.043030,-0.078696
47.004082,0.043365,-0.047882,-0.079566
47.004104,0.037964,-0.051666,-0.080066
47.004127,0.033264,-0.054688,-0.080722
47.004150,0.029785,-0.057770,-0.080729
47.004172,0.026123,-0.060089,-0.079975
47.004195,0.020752,-0.058563,-0.078847
47.004218,0.013458,-0.053528,-0.076803
47.004240,0.005096,-0.047394,-0.072665
47.004263,-0.003143,-0.040680,-0.065331
47.004286,-0.009949,-0.032562,-0.056106
47.004308,-0.014069,-0.022614,-0.048503
47.004331,-0.019592,-0.012756,-0.042519
47.004354,-0.027679,-0.005798,-0.037836
47.004376,-0.036224,-0.001343,-0.033429
47.004399,-0.040924,0.004242,-0.029089
47.004422,-0.042877,0.011932,-0.023727
47.004444,-0.044708,0.019104,-0.017184
47.004467,-0.046722,0.024200,-0.010414
47.004490,-0.048401,0.027252,-0.004535
47.004512,-0.050018,0.028137,0.000430
47.004535,-0.051727,0.029755,0.005831
47.004558,-0.055389,0.033813,0.012748
47.004580,-0.059692,0.041443,0.020357
47.004603,-0.062836,0.050385,0.028680
47.004626,-0.067017,0.057159,0.038081
47.004649,-0.071198,0.058716,0.047574
47.004671,-0.070465,0.056885,0.056361
47.004694,-0.065369,0.054291,0.064097
47.004717,-0.061035,0.052094,0.071406
47.004739,-0.057465,0.050476,0.078192
47.004762,-0.053558,0.048859,0.083958
47.004785,-0.051636,0.044830,0.089481
47.004807,-0.051422,0.039032,0.094863
47.004830,-0.050354,0.034119,0.099483
47.004853,-0.046570,0.032715,0.102128
47.004875,-0.041626,0.035706,0.101638
47.004898,-0.036987,0.040161,0.097176
47.004921,-0.032715,0.041626,0.091039
47.004943,-0.028992,0.037659,0.085733
47.004966,-0.029053,0.030212,0.081512
47.004989,-0.031860,0.021118,0.077152
47.005011,-0.031647,0.013336,0.073065
47.005034,-0.024872,0.007019,0.070388
47.005057,-0.016266,0.000732,0.069308
47.005079,-0.008667,-0.005096,0.066664
47.005102,-0.002899,-0.006287,0.062074
47.005125,0.001984,-0.002319,0.056629
47.005147,0.005493,0.003571,0.051420
47.005170,0.008392,0.007263,0.046161
47.005193,0.010925,0.008636,0.041084
47.005215,0.012390,0.011292,0.036282
47.005238,0.012238,0.017487,0.032208
47.005261,0.012756,0.022858,0.028735
47.005283,0.017365,0.023743,0.025390
47.005306,0.027771,0.022339,0.021649
47.005329,0.039764,0.023376,0.017358
47.005351,0.049622,0.028137,0.012330
47.005374,0.056488,0.034454,0.009153
47.005397,0.060394,0.038818,0.008939
47.005420,0.060913,0.040344,0.009876
47.005442,0.059296,0.041260,0.011086
47.005465,0.056030,0.042603,0.013705
